MaterialId,Reduced Formula,Elements,Crystal System,Space Group,Bandgap,Formation Energy Per Atom,Decomposition Energy Per Atom,microgravity_advantage_score,seed_score,density_ratio,mp_ratio,mp_compatible,target_sectors
0cba9e72c7,Ta2TiNb(CoSi)4,"['Si', 'Ti', 'Co', 'Nb', 'Ta']",monoclinic,Pm,0.0053,-0.7264,-0.0029,50.55,65,7.15,1.95,True,"['battery', 'quantum', 'superalloy', 'defense']"
b712898639,TaTi4NbCo16Si7,"['Si', 'Ti', 'Co', 'Nb', 'Ta']",monoclinic,Cm,0.0002,-0.5868,-0.0028,50.55,65,7.15,1.95,True,"['battery', 'quantum', 'superalloy', 'defense']"
f045118bb7,TaTi3Nb2Co16Si7,"['Si', 'Ti', 'Co', 'Nb', 'Ta']",monoclinic,Cm,,-0.5747,-0.0025,50.55,65,7.15,1.95,True,"['battery', 'quantum', 'superalloy', 'defense']"
465851abbd,Cs10Ba2TaNbP8,"['P', 'Nb', 'Cs', 'Ba', 'Ta']",triclinic,P1,0.8173,-0.5277,-0.0349,50.55,65,9.15,10.89,False,"['quantum', 'superalloy', 'optical', 'defense']"
29b91f313f,TaTiNb2(CoSi)4,"['Si', 'Ti', 'Co', 'Nb', 'Ta']",monoclinic,Pm,0.0034,-0.7281,-0.0026,50.55,65,7.15,1.95,True,"['battery', 'quantum', 'superalloy', 'defense']"
679d2136b3,Ta5Ti2Nb(Co4Si7)2,"['Si', 'Ti', 'Co', 'Nb', 'Ta']",monoclinic,Cm,0.0056,-0.6428,-0.0039,50.55,65,7.15,1.95,True,"['battery', 'quantum', 'superalloy', 'defense']"
80e781ab99,Ta2Ti3NbCo16Si7,"['Si', 'Ti', 'Co', 'Nb', 'Ta']",monoclinic,Cm,0.0007,-0.5795,-0.002,50.55,65,7.15,1.95,True,"['battery', 'quantum', 'superalloy', 'defense']"
36133e8531,Ta2TiNbCo4Si7,"['Si', 'Ti', 'Co', 'Nb', 'Ta']",monoclinic,C2/m,0.0046,-0.6488,-0.0033,50.55,65,7.15,1.95,True,"['battery', 'quantum', 'superalloy', 'defense']"
bae7c0565f,Ta5TiNb2(Co4Si7)2,"['Si', 'Ti', 'Co', 'Nb', 'Ta']",monoclinic,Cm,0.0028,-0.6324,-0.0026,50.55,65,7.15,1.95,True,"['battery', 'quantum', 'superalloy', 'defense']"
32149579b8,TaNb3Ga2(SbIr2)2,"['Ga', 'Nb', 'Sb', 'Ta', 'Ir']",monoclinic,C2,0.3564,-0.5476,-0.0344,54.65,65,3.82,10.86,False,"['semiconductor', 'quantum', 'superalloy', 'defense']"
